GeneID	LOC	DCAR	Source
108192212	LOC108192212	DCAR_031304	NCBI Gene ESummary
108192214	LOC108192214	DCAR_031500	NCBI Gene ESummary
108192216	LOC108192216	DCAR_031550	NCBI Gene ESummary
108192217	LOC108192217	DCAR_031577	NCBI Gene ESummary
108192218	LOC108192218	DCAR_031683	NCBI Gene ESummary
108192219	LOC108192219	DCAR_031780	NCBI Gene ESummary
108192220	LOC108192220	DCAR_031880	NCBI Gene ESummary
108192221	LOC108192221	DCAR_031991	NCBI Gene ESummary
108192222	LOC108192222	DCAR_032046	NCBI Gene ESummary
108192223	LOC108192223	DCAR_0205255	NCBI Gene ESummary
108192224	LOC108192224	DCAR_032262	NCBI Gene ESummary
108192225	LOC108192225	DCAR_0101055	NCBI Gene ESummary
108192226	LOC108192226	DCAR_0101056	NCBI Gene ESummary
108192227	LOC108192227	DCAR_0101058	NCBI Gene ESummary
108192228	LOC108192228	DCAR_032349	NCBI Gene ESummary
108192229	LOC108192229	DCAR_032371	NCBI Gene ESummary
108192230	LOC108192230	DCAR_0205303	NCBI Gene ESummary
108192231	LOC108192231	DCAR_031897	NCBI Gene ESummary
108192233	LOC108192233	DCAR_000250	NCBI Gene ESummary
108192234	LOC108192234	DCAR_031613	NCBI Gene ESummary
108192235	LOC108192235	DCAR_031488	NCBI Gene ESummary
108192236	LOC108192236	DCAR_031237	NCBI Gene ESummary
108192237	LOC108192237	DCAR_000246	NCBI Gene ESummary
108192238	LOC108192238	DCAR_031245	NCBI Gene ESummary
108192239	LOC108192239	DCAR_0205748	NCBI Gene ESummary
108192240	LOC108192240	DCAR_031698	NCBI Gene ESummary
108192241	LOC108192241	DCAR_031501	NCBI Gene ESummary
108192243	LOC108192243	DCAR_031273	NCBI Gene ESummary
108192244	LOC108192244	DCAR_0102004	NCBI Gene ESummary
108192245	LOC108192245	DCAR_000285	NCBI Gene ESummary
108192246	LOC108192246	DCAR_032000	NCBI Gene ESummary
108192247	LOC108192247	DCAR_000243	NCBI Gene ESummary
108192248	LOC108192248	DCAR_031879	NCBI Gene ESummary
108192249	LOC108192249	DCAR_031889	NCBI Gene ESummary
108192251	LOC108192251	DCAR_031326	NCBI Gene ESummary
108192252	LOC108192252	DCAR_000470	NCBI Gene ESummary
108192253	LOC108192253	DCAR_000360	NCBI Gene ESummary
108192254	LOC108192254	DCAR_031543	NCBI Gene ESummary
108192255	LOC108192255	DCAR_0101017	NCBI Gene ESummary
108192256	LOC108192256	DCAR_031329	NCBI Gene ESummary
108192257	LOC108192257	DCAR_0101054	NCBI Gene ESummary
108192258	LOC108192258	DCAR_031852	NCBI Gene ESummary
108192259	LOC108192259	DCAR_031567	NCBI Gene ESummary
108192260	LOC108192260	DCAR_031233	NCBI Gene ESummary
108192261	LOC108192261	DCAR_000477	NCBI Gene ESummary
108192262	LOC108192262	DCAR_000081	NCBI Gene ESummary
108192263	LOC108192263	DCAR_031598	NCBI Gene ESummary
108192264	LOC108192264	DCAR_0206883	NCBI Gene ESummary
108192265	LOC108192265	DCAR_031545	NCBI Gene ESummary
108192266	LOC108192266	DCAR_031620	NCBI Gene ESummary
108192267	LOC108192267	DCAR_032304	NCBI Gene ESummary
108192268	LOC108192268	DCAR_0205738	NCBI Gene ESummary
108192269	LOC108192269	DCAR_000321	NCBI Gene ESummary
108192270	LOC108192270	DCAR_031402	NCBI Gene ESummary
108192271	LOC108192271	DCAR_031993	NCBI Gene ESummary
108192273	LOC108192273	DCAR_031877	NCBI Gene ESummary
108192274	LOC108192274	DCAR_031544	NCBI Gene ESummary
108192275	LOC108192275	DCAR_032054	NCBI Gene ESummary
108192276	LOC108192276	DCAR_031705	NCBI Gene ESummary
108192277	LOC108192277	DCAR_032204	NCBI Gene ESummary
108192278	LOC108192278	DCAR_000385	NCBI Gene ESummary
108192279	LOC108192279	DCAR_031998	NCBI Gene ESummary
108192282	LOC108192282	DCAR_031785	NCBI Gene ESummary
108192283	LOC108192283	DCAR_032233	NCBI Gene ESummary
108192284	LOC108192284	DCAR_0205764	NCBI Gene ESummary
108192285	LOC108192285	DCAR_032185	NCBI Gene ESummary
108192286	LOC108192286	DCAR_032382	NCBI Gene ESummary
108192287	LOC108192287	DCAR_032139	NCBI Gene ESummary
108192288	LOC108192288	DCAR_031996	NCBI Gene ESummary
108192289	LOC108192289	DCAR_031875	NCBI Gene ESummary
108192290	LOC108192290	DCAR_031351	NCBI Gene ESummary
108192291	LOC108192291	DCAR_000480	NCBI Gene ESummary
108192292	LOC108192292	DCAR_032238	NCBI Gene ESummary
108192294	LOC108192294	DCAR_031337	NCBI Gene ESummary
108192295	LOC108192295	DCAR_000462	NCBI Gene ESummary
108192296	LOC108192296	DCAR_031420	NCBI Gene ESummary
108192297	LOC108192297	DCAR_031330	NCBI Gene ESummary
108192298	LOC108192298	DCAR_000354	NCBI Gene ESummary
108192299	LOC108192299	DCAR_000389	NCBI Gene ESummary
108192300	LOC108192300	DCAR_0102007	NCBI Gene ESummary
108192301	LOC108192301	DCAR_031599	NCBI Gene ESummary
108192302	LOC108192302	DCAR_031497	NCBI Gene ESummary
108192304	LOC108192304	DCAR_031994	NCBI Gene ESummary
108192305	LOC108192305	DCAR_031564	NCBI Gene ESummary
108192307	LOC108192307	DCAR_0312125	NCBI Gene ESummary
108192308	LOC108192308	DCAR_031310	NCBI Gene ESummary
108192309	LOC108192309	DCAR_032106	NCBI Gene ESummary
108192310	LOC108192310	DCAR_031608	NCBI Gene ESummary
108192311	LOC108192311	DCAR_031309	NCBI Gene ESummary
108192312	LOC108192312	DCAR_031285	NCBI Gene ESummary
108192313	LOC108192313	DCAR_032334	NCBI Gene ESummary
108192314	LOC108192314	DCAR_031424	NCBI Gene ESummary
108192315	LOC108192315	DCAR_031504	NCBI Gene ESummary
108192316	LOC108192316	DCAR_032388	NCBI Gene ESummary
108192317	LOC108192317	DCAR_031403	NCBI Gene ESummary
108192318	LOC108192318	DCAR_031672	NCBI Gene ESummary
108192319	LOC108192319	DCAR_031774	NCBI Gene ESummary
108192320	LOC108192320	DCAR_031349	NCBI Gene ESummary
108192321	LOC108192321	DCAR_032303	NCBI Gene ESummary
108192323	LOC108192323	DCAR_031692	NCBI Gene ESummary
108192324	LOC108192324	DCAR_031300	NCBI Gene ESummary
108192325	LOC108192325	DCAR_0205240	NCBI Gene ESummary
